Id,Name,MaleCount,FemaleCount,NonBinaryCount,TotalCount
4,Conservative,187,61,0,248
15,Labour,134,62,0,196
6,Crossbench,142,41,0,183
17,Liberal Democrat,66,34,0,100
3,Bishops,23,2,0,25
49,Non-affiliated,21,4,0,25
7,Democratic Unionist Party,3,0,0,3
35,UK Independence Party,3,0,0,3
10,Independent Labour,2,0,0,2
38,Ulster Unionist Party,2,0,0,2
44,Green Party,0,1,0,1
53,Independent Social Democrat,1,0,0,1
52,Independent Ulster Unionist,1,0,0,1
43,Labour Independent,0,1,0,1
283,Lord Speaker,1,0,0,1
22,Plaid Cymru,1,0,0,1
