Id,Name,MaleCount,FemaleCount,NonBinaryCount,TotalCount
4,Conservative,184,59,0,243
15,Labour,128,58,0,186
6,Crossbench,139,42,0,181
17,Liberal Democrat,64,34,0,98
49,Non-affiliated,24,4,0,28
3,Bishops,23,3,0,26
7,Democratic Unionist Party,3,0,0,3
35,UK Independence Party,3,0,0,3
10,Independent Labour,2,0,0,2
38,Ulster Unionist Party,2,0,0,2
44,Green Party,0,1,0,1
53,Independent Social Democrat,1,0,0,1
52,Independent Ulster Unionist,1,0,0,1
43,Labour Independent,0,1,0,1
283,Lord Speaker,1,0,0,1
22,Plaid Cymru,1,0,0,1
